item_code,name,description,unit_of_measure,minimum_threshold,reorder_quantity,lead_time_days,current_stock
RM-001,"Bread Flour","High-protein flour for artisan breads and pandesal",kg,100,350,3,0
RM-002,"All-Purpose Flour","Standard wheat flour for cakes, cookies, and pastries",kg,80,300,3,0
RM-003,"Refined White Sugar","Granulated pure cane sugar for bakery production",kg,60,250,2,0
RM-004,"Salted Butter","Premium grade creamery salted butter for croissants and pastries",kg,40,150,2,0
RM-005,"Fresh Eggs","Grade-A fresh farm eggs for batter and dough binding",pcs,150,600,1,0
RM-006,"Whole Milk","Pasteurized whole milk for enriched doughs and creams",L,30,120,1,0
RM-007,"Instant Dry Yeast","Fast-acting dry yeast for bread fermentation",kg,15,60,4,0
RM-008,"Iodized Salt","Fine table salt for flavor balance and gluten strengthening",kg,20,80,3,0
RM-009,"Pure Vanilla Extract","Aromatic pure vanilla flavoring for cakes and icings",L,5,25,5,0
RM-010,"Cocoa Powder","Dutch-processed unsweetened cocoa powder for chocolate goods",kg,15,60,4,0
